descripcion,titular
"En la escalada de velocidad, Rojas escaló 15 metros en el muro del parque de Cerrillos.",Andrea Rojas  conquistó la primera medalla de bronce para Ecuador en los Panamericanos
Los toreros alcanzan los 19 puntos y en la próxima fecha irán a Machala para enfrentar a Orense SC.,"Sin mostrar un buen nivel, Barcelona SC vence a Libertad FC y le alcanza para continuar como líder de la segunda etapa de Liga Pro"
"Los canarios sumaron 19 puntos y siguen líderes en esta parte del certamen local, mientras los lojanos continúan en puestos de descenso.",Así queda la tabla de posiciones luego del triunfo de Barcelona SC ante Libertad FC por la fecha 10 de la segunda etapa de Liga Pro
"Campana actuó durante los 90 minutos, mientras que Arroyo ingresó a la variante en el compromiso de este sábado.","Inter Miami con Lionel Messi, Leonardo Campana y Dixon Arroyo se despide de la temporada con derrota ante Charlotte en la MLS"
"En el estadio Pascual Guerrero de la ciudad colombiana de Cali, el gol de Millene rompió la paridad de un juego muy reñido.",Corinthians derrota al Palmeiras y se queda con la Copa Libertadores Femenina
"Los canarios sumaron 19 puntos y siguen líderes en esta parte del certamen local, mientras los lojanos continúan en puestos de descenso.",Así queda la tabla de posiciones luego del triunfo de Barcelona SC ante Libertad FC por la fecha 10 de la segunda etapa de Liga Pro
"En la escalada de velocidad, Rojas escaló 15 metros en el muro del parque de Cerrillos.",Andrea Rojas  conquistó la primera medalla de bronce para Ecuador en los Panamericanos
"El impulso del deporte, el arte y la cultura es una de las acciones del plan de política criminal y convivencia humana que ejecuta la Municipalidad.","‘Con el Interbarrial de EL UNIVERSO se retoma algo histórico en Guayaquil para formar no solo jugadores, sino personas’, dice el alcalde Aquiles Alvarez"
"Campana actuó durante los 90 minutos, mientras que Arroyo ingresó a la variante en el compromiso de este sábado.","Inter Miami con Lionel Messi, Leonardo Campana y Dixon Arroyo se despide de la temporada con derrota ante Charlotte en la MLS"
Los tricolores se mostraron firmes en esta jornada.,"Ráquetbol, bádminton, pentatlón moderno y voleibol de playa dieron las primeras alegrías a Ecuador en los Juegos Panamericanos Santiago 2023"
"Los morlacos reaccionaron pronto a la anotación de los de Tungurahua, que tuvieron dificultades en la definición.",Deportivo Cuenca se lleva empate en su visita a Mushuc Runa en la fecha 10 de la segunda etapa de Liga Pro
"Olmedo recibió a Cimarrón Furia Verde (Esmeraldas), que se quedó con la clasificación a los octavos de final en el torneo de segunda división.",¡Vergüenza! Hinchas invaden la cancha para agredir al equipo rival en Riobamba
Los toreros alcanzan los 19 puntos y en la próxima fecha irán a Machala para enfrentar a Orense SC.,"Sin mostrar un buen nivel, Barcelona SC vence a Libertad FC y le alcanza para continuar como líder de la segunda etapa de Liga Pro"
"Todos daban por favorito al joven de la esquina azul nacido en Nashville, Tennessee, pero que residía en Atlantic City.",El combate más sucio de la historia del boxeo: uno de los peleadores acabó en la cárcel y el otro se suicidó
El Rodillo Rojo venció 1-0 en visita a Cumbayá FC y comanda de forma provisional la clasificación en el desarrollo de la décima jornada de la Liga Pro.,¿Se quedará de líder? Técnico Universitario gana en Quito y asume la punta de la segunda etapa
"El volante tricolor fue titular con el Chelsea, cuadro que no pudo ante los 'gunners' (2-2) del técnico español, equipo que pretendió ficharlo esta temporada.",Sonrisas y abrazos entre Moisés Caicedo y el DT Mikel Arteta en el derbi londinense. ¿Qué le dijo el estratega del Arsenal al ecuatoriano?
"Hurst, de 81 años, fue autor del 'hat trick' con el que los ingleses se impusieron 4-2 en la final frente Alemania, en Wembley.","Muerte de Booby Charlton deja a Geoff Hurst como único superviviente de los titulares ingleses de la final del Mundial 1966, el atacante se despide de su compañero"
En esta jornada tendrán la oportunidad de actuar Richard Carapaz en la prueba de ciclismo  contrarreloj y la pesista Angie Palacios.,Juegos Panamericanos de Santiago 2023: horarios para ver a los deportistas de Ecuador en vivo  este domingo 22 de octubre
